GPS Week:  1943 2017-04-02 00:00:00
General FDIR Metrics (10)30/03/2007/03/30 01:39:13.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:50:16.802,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:51:16.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:52:16.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:53:16.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:54:17.802,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:55:17.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:56:17.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:57:17.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:58:17.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:59:18.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:00:18.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:01:18.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:02:18.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:03:19.803,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:04:19.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:05:19.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:06:19.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:07:20.803,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:08:20.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:09:20.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:10:20.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:11:20.808,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:12:21.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:13:21.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:14:21.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:15:21.808,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:16:22.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:17:22.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:18:22.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:19:22.808,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:20:23.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:21:23.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:22:23.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:23:23.808,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:24:23.810,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:25:24.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:26:24.807,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:27:24.808,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:28:24.810,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 02:29:25.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
